Date,Open,High,Low,Close  
2020-11-24 00:00:00-05:00,30.830.066,31.350.585,30.736.201,31.231.119
2020-11-25 00:00:00-05:00,31.171.392,31.196.994,30.923.935,31.171.392
2020-11-27 00:00:00-05:00,31.384.723,31.794.311,31.359.125,31.768.713
2020-11-30 00:00:00-05:00,32.383.093,33.108.405,32.084.433,32.690.285
2020-01-12 00:00:00-05:00,33.620.390,34.559.029,33.287.596,33.628.922
2020-02-12 00:00:00-05:00,34.533.431,35.335.541,34.388.367,34.815.022
2020-03-12 00:00:00-05:00,34.968.612,35.011.277,33.722.781,34.209.167
2020-04-12 00:00:00-05:00,34.038.496,34.516.350,34.038.496,34.422.485
2020-07-12 00:00:00-05:00,34.695.560,35.327.010,34.448.100,35.199.013
2020-08-12 00:00:00-05:00,35.327.010,36.496.043,35.284.342,36.316.849
2020-09-12 00:00:00-05:00,36.752.033,36.760.568,35.096.614,35.710.995
2020-10-12 00:00:00-05:00,35.685.399,36.026.724,35.369.675,35.608.601
2020-11-12 00:00:00-05:00,35.813.392,35.898.722,34.721.154,35.088.078
2020-12-14 00:00:00-05:00,35.514.739,35.548.872,33.338.801,33.458.263
2020-12-15 00:00:00-05:00,33.330.265,33.432.661,32.604.950,33.031.605
2020-12-16 00:00:00-05:00,32.579.356,32.826.816,32.203.901,32.289.230
2020-12-17 00:00:00-05:00,32.280.700,32.528.157,31.836.978,32.451.359
2020-12-18 00:00:00-05:00,32.417.222,32.502.551,31.999.099,32.152.695
2020-12-21 00:00:00-05:00,31.811.373,31.913.772,31.495.649,31.896.706
2020-12-22 00:00:00-05:00,31.751.643,31.854.042,31.231.124,31.350.590
2020-12-23 00:00:00-05:00,31.580.987,32.127.108,31.470.059,31.947.910
2020-12-24 00:00:00-05:00,31.913.768,32.058.830,31.726.039,31.802.837
2020-12-28 00:00:00-05:00,31.879.638,32.067.367,31.299.387,31.418.850
2020-12-29 00:00:00-05:00,31.487.112,31.743.104,31.393.248,31.615.107
2020-12-30 00:00:00-05:00,31.598.047,31.777.244,31.316.457,31.350.590
2020-12-31 00:00:00-05:00,31.282.323,31.504.182,30.966.599,31.410.320
2021-04-01 00:00:00-05:00,31.461.517,31.521.248,30.949.532,31.410.320
2021-05-01 00:00:00-05:00,31.333.520,31.888.169,31.231.121,31.734.573
2021-06-01 00:00:00-05:00,31.427.386,31.982.035,31.376.186,31.461.515
2021-07-01 00:00:00-05:00,31.606.579,31.700.444,31.290.852,31.623.646
2021-08-01 00:00:00-05:00,31.708.978,32.024.702,31.487.119,31.683.380
2021-11-01 00:00:00-05:00,31.760.180,32.280.700,31.700.449,32.229.500
2021-12-01 00:00:00-05:00,32.169.761,32.246.559,31.418.848,31.726.040
2021-01-13 00:00:00-05:00,31.572.449,31.717.510,31.265.257,31.452.986
2021-01-14 00:00:00-05:00,31.384.721,31.538.317,31.239.660,31.359.123
2021-01-15 00:00:00-05:00,31.299.384,31.384.713,31.060.458,31.316.450
2021-01-19 00:00:00-05:00,31.367.645,31.572.441,31.248.182,31.342.047
2021-01-20 00:00:00-05:00,31.393.254,31.410.321,31.111.661,31.145.794
2021-01-21 00:00:00-05:00,31.051.929,31.222.592,30.847.137,31.128.727
2021-01-22 00:00:00-05:00,30.992.199,31.427.388,30.932.467,31.188.459
2021-01-25 00:00:00-05:00,31.188.457,31.819.908,30.992.197,31.811.373
2021-01-26 00:00:00-05:00,31.802.836,32.084.427,31.708.972,31.836.969
2021-01-27 00:00:00-05:00,31.563.907,31.606.572,30.864.191,30.923.925
2021-01-28 00:00:00-05:00,31.010.190,31.337.976,30.915.304,30.932.556
2021-01-29 00:00:00-05:00,31.812.408,31.812.408,30.725.540,30.967.068
2021-01-02 00:00:00-05:00,30.992.942,31.217.215,30.811.798,30.880.804
2021-02-02 00:00:00-05:00,30.846.291,30.863.544,29.561.031,30.182.098
2021-03-02 00:00:00-05:00,30.182.107,30.440.884,30.000.960,30.052.717
2021-04-02 00:00:00-05:00,30.026.842,30.259.743,29.931.957,30.095.848
2021-05-02 00:00:00-05:00,30.121.716,30.259.733,30.000.953,30.121.716
2021-08-02 00:00:00-05:00,30.156.218,30.199.347,29.966.450,30.035.456
2021-09-02 00:00:00-05:00,30.018.214,30.242.489,29.983.709,30.164.856
2021-10-02 00:00:00-05:00,30.190.730,30.259.739,29.931.953,29.966.457
2021-11-02 00:00:00-05:00,30.018.207,30.026.835,29.569.659,29.699.049
